title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,tags,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,company_website,company_size,company_industry,company_address,company_description
AI Lead,AI Lead,https://careerviet.vn/vi/tim-viec-lam/ai-lead.35C50EDA.html,,"Wanek Furniture Tuyển Dụng, Việc Làm Mới Nhất - CareerViet.vn",https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,Lương: Cạnh tranh,,Bình Dương,,,,,senior ai engineer; ai engineer; automation,,,"Lead the strategy, design, and execution of AI initiatives across production and back-office departments. Together build-up and supervise a team of AI/ML Engineers and Automation Specialists. Develop and deploy AI Agents to automate manual tasks (e.g., report generation, quality inspection, ERP data analysis). Identify opportunities for AI integration in production (e.g., defect detection via computer vision, demand forecasting). Collaborate with departments such as manufacturing, sales, and HR to understand automation needs and deliver AI-based solutions. Oversee the end-to-end lifecycle of AI models: data collection, model training, deployment, monitoring, and optimization. Ensure AI systems are compliant with data privacy, cybersecurity, and ethical standards. Evaluate new AI technologies, tools, and trends to improve automation and productivity. Report AI performance to leadership.",1. Education:,Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Xe đưa đón Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm,,| Loại hình hoạt động: 100% vốn nước ngoài,,,
AI Manager,AI Manager,https://careerviet.vn/vi/tim-viec-lam/ai-manager.35C4DD48.html,,"Wanek Furniture Tuyển Dụng, Việc Làm Mới Nhất - CareerViet.vn",https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,Lương: Cạnh tranh,,Bình Dương,,,,,ai manager; ai agents; machine learning,,,"Lead the strategy, design, and execution of AI initiatives across production and back-office departments. Build and manage a team of AI/ML Engineers and Automation Specialists. Develop and deploy AI Agents to automate manual tasks (e.g., report generation, quality inspection, ERP data analysis). Identify opportunities for AI integration in production (e.g., defect detection via computer vision, demand forecasting). Collaborate with departments such as manufacturing, sales, and HR to understand automation needs and deliver AI-based solutions. Oversee the end-to-end lifecycle of AI models: data collection, model training, deployment, monitoring, and optimization. Ensure AI systems are compliant with data privacy, cybersecurity, and ethical standards. Evaluate new AI technologies, tools, and trends to improve automation and productivity. Report AI strategy and results to leadership.","1. Education: Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Data Science, or related fields. 2. Experience: 5+ years of experience in AI/ML , with at least 2 years in a leadership or managerial role. Strong hands-on experience with ML/DL frameworks (e.g., TensorFlow, PyTorch), and AI agent frameworks (e.g., LangChain, AutoGPT, OpenAgents). Proficiency in deploying AI models in production environments (cloud or on-prem). Experience integrating AI with business systems such as ERP, MES, or CRM. Experience with RPA tools (e.g., UIPath, Power Automate, OpenRPA) is a plus. 3. Knowledge: Knowledge of Computer Vision applications for quality control and object detection. Understanding of industry-specific AI applications and solutions. Awareness of AI ethics, bias, fairness, and regulatory compliance. Safe handling of data and model outputs. Strong communication, leadership, and project management skills. Ability to align AI initiatives with business goals and manage organizational change. 4. Skills: Aptitude for identifying and solving complex AI and data problems. Ability to convey technical information clearly and persuasively. Working cross-functionally with IT, business units, and product teams. Coaching team members and fostering continuous learning. Strong problem-solving skill. Strong English proficiency.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Xe đưa đón Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm,,| Loại hình hoạt động: 100% vốn nước ngoài,,,
AI Engineer,AI Engineer,https://careerviet.vn/vi/tim-viec-lam/ai-engineer.35C55382.html,,Công ty Cổ phần CANIFA,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-canifa.35A66CA5.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-canifa.35A66CA5.html,Lương: 20 Tr - 35 Tr VND,,Hà Nội,,,,,ai engineer; ml.ai; data sicentist; mlops,,,"– Triển khai các mô hình Ai để giải quyết các bài toán thực tế trong các lĩnh vực như: Generic AI, Phân tích dữ liệu lớn","– Tốt nghiệp Đại học trở lên chuyên ngành Công nghệ thông tin, Khoa học dữ liệu, Phân tích dữ liệu, Toán tin hoặc chuyên ngành liên quan.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm CLB thể thao,,,,,
AI Engineer,AI Engineer,https://careerviet.vn/vi/tim-viec-lam/ai-engineer.35C543C5.html,,Công ty Cổ phần CANIFA,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-canifa.35A66CA5.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-canifa.35A66CA5.html,Lương: 20 Tr - 35 Tr VND,,Hà Nội,,,,,ai engineer; data scientist; ml.ai; data analysis specialist; data analyst,,,"– Triển khai các mô hình Ai để giải quyết các bài toán thực tế trong các lĩnh vực như: Generic AI, Phân tích dữ liệu lớn","– Tốt nghiệp Đại học trở lên chuyên ngành Công nghệ thông tin, Khoa học dữ liệu, Phân tích dữ liệu, Toán tin hoặc chuyên ngành liên quan.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm CLB thể thao,,,,,
AI Engineer,AI Engineer,https://careerviet.vn/vi/tim-viec-lam/ai-engineer.35C56A49.html,,Công Ty Cổ phần Tài Việt (Vietstock.vn),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tai-viet-vietstock-vn.35A70796.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tai-viet-vietstock-vn.35A70796.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,ai engineer; lập trình viên; chuyên viên lập trình; lập trình viên .net; .net developer,,,"- Provide solutions and implement AI projects using LLMs, GenAI services (like Google Gemini, Open AI, Doc AI....) or opensource projects",Yêu cầu,Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm CLB thể thao,,,,,
AI Developer,AI Developer,https://careerviet.vn/vi/tim-viec-lam/ai-developer.35C4D0E3.html,,CÔNG TY TNHH VENESA,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-venesa.35A789BB.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-venesa.35A789BB.html,Lương: 17 Tr - 26 Tr VND,,Hà Nội,,,,,ai developer; lập trình,,,"Bạn sẽ tham gia vào nhóm nghiên cứu và phát triển sản phẩm công nghệ AI trong lĩnh vực chăm sóc da , bao gồm:","• Tốt nghiệp Đại học chuyên ngành CNTT, Khoa học máy tính, Trí tuệ nhân tạo, hoặc các ngành liên quan. • Thành thạo Python và có kinh nghiệm làm việc với thư viện AI/ML như: TensorFlow, PyTorch, Scikit-learn,... • Có kiến thức vững chắc về xử lý ảnh và computer vision. • Hiểu biết về deep learning, transfer learning và fine-tuning mô hình. • Có kinh nghiệm làm việc với framework như Flask/FastAPI, Docker, Git. • Khả năng đọc hiểu tài liệu kỹ thuật bằng tiếng Anh.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm,,,,,
AI Engineer (AI Agent & Automation),AI Engineer (AI Agent & Automation),https://careerviet.vn/vi/tim-viec-lam/ai-engineer-ai-agent-automation.35C4D298.html,,"Wanek Furniture Tuyển Dụng, Việc Làm Mới Nhất - CareerViet.vn",https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,https://careerviet.vn/vi/nha-tuyen-dung/wanek-furniture.35A5892F.html,Lương: Cạnh tranh,,Bình Dương,,,,,ai engineer; ai agent,,,"Key Responsibilities: Design, develop, and implement AI-driven agents to automate repetitive tasks, reducing human effort. Automate key processes such as data entry, document handling, reporting, and operational workflows. Integrate AI solutions seamlessly with existing IT infrastructure, ERP systems, and business applications. Leverage RPA tools (UiPath, Power Automate, Automation Anywhere) to improve automation efficiency. Optimize AI models for scalability, security, and cost-effectiveness. Collaborate with management to identify opportunities for cost-saving automation initiatives. Continuously stay informed on the latest advancements in AI, workflow automation, and intelligent systems.","Bachelor’s Degree in Computer Science, AI, Software Engineering, or a related majors. Minimum 2 years of hands-on experience in AI , particularly in AI Agent & Automation. Experience with AI-driven automation, workflow optimization, and intelligent agents. Strong programming skills in Python (TensorFlow, PyTorch, OpenCV, LangChain) Strong experience with RPA tools (UiPath, Power Automate, Automation Anywhere) & API integrations for automation. Familiarity with cloud AI services (AWS, Azure, GCP). Understanding of IT security, compliance, and AI ethics in automation. Basic English communication. Strong problem-solving skills, particularly with a focus on cost reduction, efficiency improvements, and real-time image processing.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Xe đưa đón Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm,,| Loại hình hoạt động: 100% vốn nước ngoài,,,
AI Solution Engineer / AI Agent Automation,AI Solution Engineer / AI Agent Automation,https://careerviet.vn/vi/tim-viec-lam/ai-solution-engineer-ai-agent-automation.35C57AD3.html,,Công Ty Cổ Phần TEECOM,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-teecom.35A8B79A.html,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-teecom.35A8B79A.html,Lương: Lên đến 35 Tr VND,,Hồ Chí Minh,,,,,ai solution engineer / ai solution developer; lập trình,,,Trách nhiệm công việc:,"Tối thiểu 5 năm kinh nghiệm trong lĩnh vực AI/ML, Data Science hoặc Business Analytics , trong đó ít nhất 2 năm triển khai AI cho mảng Kinh doanh/Marketing. Kinh nghiệm sử dụng thành thạo N8N, MCP hoặc các công cụ Low-code/No-code build AI Agents. Hiểu biết sâu về các quy trình vận hành kinh doanh: sales funnel, lead scoring, marketing automation. Ứng viên từng làm việc tại các công ty hoặc tham gia dự án phát triển sản phẩm dịch vụ liên quan đến Marketing, Phân tích thị trường hoặc phát triển sản phẩm sẽ là lợi thế. Có khả năng xây dựng, triển khai, vận hành và tối ưu AI Pipeline. Kỹ năng quản lý dự án và làm việc đa phòng ban. Tư duy đổi mới, chủ động học hỏi và truyền cảm hứng về công nghệ mới.",Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Du lịch nước ngoài Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Phụ cấp thâm niên Nghỉ phép năm CLB thể thao,,,,,
Senior AI Engineer,Senior AI Engineer,https://careerviet.vn/vi/tim-viec-lam/senior-ai-engineer.35C555FF.html,,"CareerViet Tuyển Dụng, Việc Làm Mới Nhất - CareerViet.vn",https://careerviet.vn/vi/nha-tuyen-dung/careerviet.35A4E9A9.html,https://careerviet.vn/vi/nha-tuyen-dung/careerviet.35A4E9A9.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,senior ai engineer; it engineer; it; ai,,,"We are seeking an experienced Senior AI Engineer with strong expertise in Machine Learning, Natural Language Processing, and Computer Vision. This role will focus on training, deploying, and optimizing AI models to extract structured data from documents and images for large-scale production systems. Responsibilities: Design, train, fine-tune, and optimize AI/ML models, including LLMs. Build and maintain end-to-end data extraction pipelines for documents (PDF, scanned images, tables). Work directly with the AI models currently in production: Qwen3-30B-A3 for content understanding and document parsing. Surya-OCR and VietOCR for high-accuracy OCR from images/scanned documents. Named Entity Recognition (NER) for extracting key entities from text. Lite and Interpretable Language Transformer (LILT) for advanced OCR and document understanding. YOLOv5 for object detection in document layouts. Table Extraction for structured data retrieval from tables. Develop and manage MLOps pipelines, including CI/CD for AI models. Integrate AI models into production environments with a focus on performance and scalability. Research and experiment with new AI techniques to improve accuracy and efficiency.","Technical Skills & Experience: 3–5+ years of experience in AI/ML engineering. Strong programming skills in Python with frameworks such as PyTorch, TensorFlow, HuggingFace Transformers, LangChain, etc. Proven experience in training, fine-tuning, and deploying LLMs (preferably Qwen, GPT, LLaMA, Mistral, etc.). Hands-on experience with: OCR models: Surya-OCR, VietOCR. NER, LILT, YOLOv5, Table Extraction. Experience with deploying AI pipelines on Cloud (AWS, GCP, Azure) or on-premise environments. Proficiency in CI/CD for AI/ML (GitLab CI, GitHub Actions, etc.). Familiarity with Vector Databases (Pinecone, Weaviate, Milvus) and RAG applications. Preferred Qualifications: Experience in optimizing model inference speed and reducing operational costs. Knowledge of containerization and orchestration (Docker, Kubernetes). Prior work in AI projects involving document processing, OCR, and visual data analysis.",Laptop Chế độ bảo hiểm Du Lịch Chăm sóc sức khỏe Đào tạo Nghỉ phép năm Địa điểm Hồ Chí Minh,,,,,
[HO] - AI ENGINEER,[HO] - AI ENGINEER,https://careerviet.vn/vi/tim-viec-lam/ho-ai-engineer.35C571CE.html,,Shinhan Bank Vietnam,https://careerviet.vn/vi/nha-tuyen-dung/shinhan-bank-vietnam.35A66560.html,https://careerviet.vn/vi/nha-tuyen-dung/shinhan-bank-vietnam.35A66560.html,Lương: Cạnh tranh,,Hồ Chí Minh,,,,,BANKING; COMPUTER SCIENCE,,,"- Design, build, optimize, and integrate AI models for application problems in Business/Banking operations in the fields of NLP, Computer Vision, ... - Participate in research, development and optimization of AI models, especially in the fields of Natural Language Processing (NLP) and Large Languege Models (LLM). - Optimize RAG solutions, intelligent CHATBOT, and information search system. - Deploy AI models to production environment, ensuring performance and reliability... - Other tasks as required by Department Head.","- Bachelor's/Master's in Computer Science, AI, Data Science, Mathematics or related majors. - 3-4 years+ experience in AI field, preferably focusing on text/audio/image processing. - Hands-on experience with prompt engineering, RAG, AI in Banking problems. - Proficient in Python and Machine Learning, Deep Learning frameworks. - Fimiliarity with LLM tools (e.g, LlamaIndex, LangChain) and vector databases. - Understanding and experience working with AI server (hardware). - Experience in deploying and operating applications using ISS Manager, Docker, etc. - Good Front-ent, Back-end development skills is a plus. - Experience in Financial & banking is a plus. - Good teamwork and independent working skills.",,,,,,
