title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,tags,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,company_website,company_size,company_industry,company_address,company_description,skills
Principal Software Architect - Fintech,Principal Software Architect - Fintech,https://itviec.com/it-jobs/principal-software-architect-fintech-trusting-social-4949?lab_feature=preview_jd_page,,,,,,Login to view,"['Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh']","Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh",,,,,"Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh",,,,,,,,,,"Software Architecture, Solution Architecture, System Architecture, Design Systems, Python"
"Senior Software Engineer (Java,C#)","Senior Software Engineer (Java,C#)",https://itviec.com/it-jobs/senior-software-engineer-java-c-katalon-5711?lab_feature=preview_jd_page,,,,,,Login to view,"['Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh']","Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh",,,,,"Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh",,,,,,,,,,"Java, AWS, ASP.NET, Quarkus, Spring, C#"
"Software Engineer (Java, Golang, NodeJS)","Software Engineer (Java, Golang, NodeJS)",https://itviec.com/it-jobs/software-engineer-java-golang-nodejs-cong-ty-tnhh-giai-phap-brain-tech-3514?lab_feature=preview_jd_page,,,,,,Login to view,"['Phường Đức Nhuận, Phu Nhuan, Ho Chi Minh']","Phường Đức Nhuận, Phu Nhuan, Ho Chi Minh",,,,,"Phường Đức Nhuận, Phu Nhuan, Ho Chi Minh",,,,,,,,,,"Java, Elasticsearch, Cassandra, Oracle, NodeJS, Golang"
Middle/Senior Software Engineer (Python/Golang),Middle/Senior Software Engineer (Python/Golang),https://itviec.com/it-jobs/middle-senior-software-engineer-python-golang-m-village-3202?lab_feature=preview_jd_page,,,,,,Login to view,"['SCIC Building - 16 Trương Định, Phường Võ Thị Sáu, District 3, Ho Chi Minh']","SCIC Building - 16 Trương Định, Phường Võ Thị Sáu, District 3, Ho Chi Minh",,,,,"SCIC Building - 16 Trương Định, Phường Võ Thị Sáu, District 3, Ho Chi Minh",,,,,,,,,,"Python, Microservices, PostgreSql, Golang"
"QA Manager (QA QC, Automation Test)","QA Manager (QA QC, Automation Test)",https://itviec.com/it-jobs/qa-manager-qa-qc-automation-test-nab-innovation-centre-vietnam-5406?lab_feature=preview_jd_page,,,,,,Login to view,"['The Hallmark, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh']","The Hallmark, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh",,,,,"The Hallmark, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh",,,,,,,,,,"QA QC, Leadership, Stakeholder management, Automation Test, Tester, Team Management"
"Expert, Salesforce Developer","Expert, Salesforce Developer",https://itviec.com/it-jobs/expert-salesforce-developer-techcombank-2643?lab_feature=preview_jd_page,,,,,,Login to view,"['Số 23 Lê Duẩn, phường Bến Nghé, District 1, Ho Chi Minh']","Số 23 Lê Duẩn, phường Bến Nghé, District 1, Ho Chi Minh",,,,,"Số 23 Lê Duẩn, phường Bến Nghé, District 1, Ho Chi Minh",,,,,,,,,,"Salesforce, Security, Microservices Architecture, SOLID Principles, Team Management, Software Architecture"
Full Stack Lead / Engineering Manager (NodeJS/ ReactJS),Full Stack Lead / Engineering Manager (NodeJS/ ReactJS),https://itviec.com/it-jobs/full-stack-lead-engineering-manager-nodejs-reactjs-cong-ty-tnhh-amberos-4642?lab_feature=preview_jd_page,,,,,,Login to view,"['114 Đông Hồ, phường 8, Tan Binh, Ho Chi Minh']","114 Đông Hồ, phường 8, Tan Binh, Ho Chi Minh",,,,,"114 Đông Hồ, phường 8, Tan Binh, Ho Chi Minh",,,,,,,,,,"System Architecture, Fullstack, DevOps, Team Management, ReactJS, NodeJS"
"Technical Demo Architect (API, Javascript, JSON, Git)","Technical Demo Architect (API, Javascript, JSON, Git)",https://itviec.com/it-jobs/technical-demo-architect-api-javascript-json-git-ol-vietnam-1202?lab_feature=preview_jd_page,,,,,,Login to view,"['Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh']","Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh",,,,,"Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh",,,,,,,,,,"API, JSON, Git, Postman, ReactJS, JavaScript"
"Lead Software Engineer, TestOps (Java, React,Cloud-nat)","Lead Software Engineer, TestOps (Java, React,Cloud-nat)",https://itviec.com/it-jobs/lead-software-engineer-testops-java-react-cloud-nat-katalon-4345?lab_feature=preview_jd_page,,,,,,Login to view,"['Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh']","Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh",,,,,"Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, HCMC., District 10, Ho Chi Minh",,,,,,,,,,"Java, Kafka, TypeScript, PostgreSql, ReactJS, Quarkus"
[Da Nang] Technical Architect (Frontend/ ReactJS),[Da Nang] Technical Architect (Frontend/ ReactJS),https://itviec.com/it-jobs/da-nang-technical-architect-frontend-reactjs-one-tech-stop-vietnam-company-ltd-3749?lab_feature=preview_jd_page,,,,,,Login to view,"['Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh']","Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh",,,,,"Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh",,,,,,,,,,"Software Architecture, TypeScript, NodeJS, ReactJS, Cloud, DevOps"
